year,artist,songs,cleaned_lyrics
"2010","taiocruz","breakyourheart","listen baby love leave call heart breaker dont wanna deceive fall im easy please might tear apart told start baby start im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart theres point tryna hide point tryna evade know got problem problem misbehaving fall im easy please might tear apart told start baby start im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart know karmas gonna get back cold like big bad wolf im born bad bad bone fall im gonna tear apart told ya start im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart im gonna break break break break heart"
"2010","bob","airplanes","pretend airplanes night sky like shooting stars could really use wish right wish right wish right pretend airplanes night sky like shooting stars could really use wish right wish right wish right yeah could use dream genie wish go back place much simpler cause partyin smashin crashin glitz glam fashion pandemonium madness comes time fade blackness youre starin phone lap youre hopin people never call back thats story unfolds get another hand soon fold plans unravel sand would wish one chance airplane airplane sorry im late im way dont close gate dont make ill switch flight ill right back end night pretend airplanes night sky like shooting stars shooting stars could really use wish right wish right wish right wish right wish right wish right pretend airplanes night sky like shooting stars shooting stars could really use wish right wish right wish right wish right wish right wish right yeah yeah somebody take back days job got paid ever mattered bank yeah back tryin get tip subway back rappin hell nowadays rappin stay relevant im guessin could make wishes outta airplanes maybe oh maybe id go back days politics call rap game back aint nobody listened mixtape back tried cover slang decatur whats bobby ray get wish end politics get back music started shit stand say im hopin make wishes outta airplanes pretend airplanes night sky like shooting stars shooting stars could really use wish right wish right wish right wish right wish right wish right pretend airplanes night sky like shooting stars shooting stars could really use wish right wish right wish right wish right wish right wish right could really use wish right oh ohoh oh iii could really use wish right like like like shootin stars oh oh oh iiii could really use wish right wish wish right wish right"
"2010","ladygaga","badromance","ohohohohoh ohohohoh ohohoh caught bad romance ohohohohoh ohohohoh ohohoh caught bad romance raraahahah roma romama gaga ooh lala want bad romance raraahahah roma romama gaga ooh lala want bad romance want ugly want disease want everything long free want love love love love want love oh ey want drama touch hand hey want leatherstudded kiss sand want love love love love want love love love love want love know want know need want bad bad romance want love want revenge could write bad romance ohohohohoh want love lovers revenge could write bad romance ohohohohoh ohohohoh ohohoh caught bad romance ohohohohoh ohohohoh ohohoh caught bad romance raraahahah romaromama gaga ooh lala want bad romance want horror want design cause youre criminal long youre mine want love love love love want love uh want psycho vertigo schtick schtick hey want rear window baby youre sick want love love love love want love love love love want love know want know need cause im free bitch baby want bad bad romance want love want revenge could write bad romance ohohohohoh want love lovers revenge could write bad romance ohohohohoh ohohohoh ohohoh caught bad romance ohohohohoh ohohohoh ohohoh caught bad romance raraahahah romaromama gaga ooh lala want bad romance raraahahah romaromama gaga ooh lala want bad romance walk walk fashion baby work move bitch crazy walk walk fashion baby work move bitch crazy walk walk fashion baby work move bitch crazy walk walk passion baby work im free bitch baby want love want revenge want love dont wanna friends je veux ton amour et je veux ta revanche je veux ton amour dont wanna friends ohohohohoh ohohohoh ohohoh want back dont wanna friends caught bad romance dont wanna friends want bad romance caught bad romance want bad romance want love want revenge could write bad romance ohohohohoh want love lovers revenge could write bad romance ohohohohoh ohohohoh ohohoh want bad romance caught bad romance want bad romance ohohohohoh ohohohoh ohohoh want bad romance caught bad romance raraahahah roma romama gaga ooh lala want bad romance"
"2010","keha","tiktok","wake morning feelin like p diddy hey girl grab glasses im door im gonna hit city lets go leave brush teeth bottle jack cause leave night aint coming back im talkin pedicure toes toes tryin clothes clothes boys blowin phones phones droptoppin playin favorite cds pullin parties tryna get little bit tipsy dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh aint got care world got plenty beer aint got money pocket im already dudes linin cause hear got swagger kick em curb unless look like mick jagger im talkin bout everybody gettin crunk crunk boys tryna touch junk junk gonna smack gettin drunk drunk nonow go kick us police shut us police shut us popo shut us dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh dj build break heart pounds yeah got hands got got sound yeah got dj build break heart pounds yeah got hands put hands put hands party dont start til walk dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh dont stop make pop dj blow speakers tonight ima fight til see sunlight tick tock clock party dont stop oh whoa whoa oh oh whoa whoa oh"
"2010","taiocruz","dynamite","throw hands air sometimes saying ayo gotta let go wanna celebrate live life saying ayo baby lets go came dance dance dance dance hit floor cause thats plans plans plans plans im wearing favorite brands brands brands brands give space hands hands hands hands yeah yeah cause goes goes yeah throw hands air sometimes saying ayo gotta let go wanna celebrate live life saying ayo baby lets go cause gon rock club gon go night gon light like dynamite cause told told twice gon light like dynamite came move move move move get way crew crew crew crew im club im gonna fuck came yeah yeah cause goes goes yeah throw hands air sometimes saying ayo gotta let go wanna celebrate live life saying ayo baby lets go cause gon rock club gon go night gon light like dynamite cause told told twice gon light like dynamite im gonna take im gonna last one standing higher im gonna last one landing cause believe want want im gonna put hands air hands hands air put hands air throw hands air sometimes saying ayo gotta let go wanna celebrate live life saying ayo baby lets go cause gon rock club gon go night gon light like dynamite cause told told twice gon light like dynamite"
"2010","train","heysoulsister","hey heeeeey heeeeey lipstick stains front lobe leftside brains knew wouldnt forget went let blow mind sweet moonbeam smell every single dream dream knew collided youre one decided whos one kind hey soul sister aint mr mister radio stereo way move aint fair know hey soul sister dont wanna miss single thing tonight hey heeeeey heeeeey time im glad onetrack mind like gave life direction gameshow love connection cant deny im obsessed heart bound beat right untrimmed chest believe like virgin youre madonna im always gonna wanna blow mind hey soul sister aint mr mister radio stereo way move aint fair know hey soul sister dont wanna miss single thing tonight way cut rug watching yous drug need gangster im thug youre one im dreaming see finally fact theres nothing cant want world see youll hey soul sister aint mr mister radio stereo way move aint fair know hey soul sister dont wanna miss single thing tonight hey soul sister dont wanna miss single thing tonight hey heeeeey heeeeey tonight hey heeeeey heeeeey tonight"
"2010","eminem","lovethewayyoulie","gonna stand watch burn well thats alright like way hurts gonna stand hear cry well thats alright love way lie love way lie cant tell really tell feels like right theres steel knife windpipe cant breathe still fight fight long wrong feels right like im flight high love drunk hate like im huffing paint love suffer suffocate right im drown resuscitates fucking hates love wait going im leaving aint come back running right back go insane cause going good going great im superman wind back shes lois lane bad awful feel ashamed snap whos dude dont even know name laid hands ill never stoop low guess dont know strength gonna stand watch burn well thats alright like way hurts gonna stand hear cry well thats alright love way lie love way lie love way lie ever love somebody much barely breathe youre em meet neither one even know hit em got warm fuzzy feeling yeah chills used get em youre getting fucking sick looking em swore youd never hit em never nothing hurt em youre others face spewing venom words spit push pull others hair scratch claw bit em throw em pin em lost moments youre rage took controls say best go separate ways guess dont know cause today yesterday yesterday different day sound like broken records playing promised next time youd show restraint dont get another chance life nintendo game lied get watch leave window guess thats call window pane gonna stand watch burn well thats alright like way hurts gonna stand hear cry well thats alright love way lie love way lie love way lie know said things things didnt mean fall back patterns routines tempers bad mine youre comes love youre blinded baby please come back wasnt baby maybe relationship isnt crazy seems maybe thats happens tornado meets volcano know love much walk away though come inside pick bags sidewalk dont hear sincerity voice talk told fault look eyeball next time im pissed ill aim fist drywall next time wont next time apologize even though know lies im tired games want back know im liar ever tries fucking leave imma tie bed set house fire im gonna gonna stand watch burn well thats alright like way hurts gonna stand hear cry well thats alright love way lie love way lie love way lie"
"2010","usher","omg","oh gosh baby let im gon let beat rock oh baby let love theres many ways love baby break theres many ways love got like oh gosh im love found finally make want say oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh oh gosh oh oh ohoh oh oh oh ohoh make want say oh oh ohoh oh oh oh ohoh oh oh ohoh oh oh oh ohoh fell love shorty seen dance floor oh oh ohoh oh oh oh ohoh dancing sexy poppoppopping dropping dropping low oh oh ohoh oh oh oh ohoh never ever lady hit first sight oh oh ohoh oh oh oh ohoh something special like dynamite oh oh ohoh oh oh oh ohoh honey got booty like pow pow pow honey got boobies like wow oh wow girl know im loving loving style check check check check check checking like oh got sexy head toe want baby let love theres many ways love baby break theres many ways love got like oh gosh im love found finally make want say oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh gosh oh oh ohoh oh oh oh ohoh make want say oh oh ohoh oh oh oh ohoh make want say oh oh ohoh oh oh oh ohoh oh oh ohoh oh oh oh ohoh feel hot honey girls club oh oh ohoh oh oh oh ohoh one got whipped one look yep fell love oh oh ohoh oh oh oh ohoh one something special one like dynamite oh oh ohoh oh oh oh ohoh oooooooout sight fell love honey like oh honey looking wonderful fly fly honey like supermodel oh baby make grown man cry oh baby got sexy head toe want honey let love theres many ways love baby break theres many ways love got like oh gosh im love found finally make want say oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh oh gosh oh oh ohoh oh oh oh ohoh oh gosh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh oh oh ohoh oh gosh oh oh ohoh oh oh oh ohoh oh gosh oh oh ohoh oh oh oh ohoh im gon let beat rock oh oh ohoh oh oh oh ohoh ohohoh oh oh oh oh ohoh oh oh oh ohoh oh oh gosh oh oh ohoh oh oh oh ohoh ohohoh oh oh oh oh ohoh oh oh oh ohoh oh oh gosh oh oh ohoh oh oh oh ohoh ohohoh oh oh oh oh gosh oh oh ohoh oh oh oh ohoh"
"2010","ladyantebellum","needyounow","hey sorry missed call leave message beep hey yeah thinking everything tonight dont know miss much give call back picture perfect memories scattered around floor reachin phone cause cant fight anymore wonder ever cross mind happens time quarter one im alone need said wouldnt call ive lost control need dont know without need another shot whiskey cant stop lookin door wishing youd come sweeping way wonder ever cross mind happens time quarter one im little drunk need said wouldnt call ive lost control need dont know without need whoa oh guess id rather hurt feel nothin quarter one im alone need said wouldnt call im little drunk need dont know without need need oh baby need"
"2010","katyperry","californiagurls","greetings loved ones lets take journey know place grass really greener warm wet wild must something water sippin gin juice laying underneath palm trees undone boys break necks tryna creep little sneak peek us could travel world nothing comes close golden coast party us youll falling love california girls unforgettable daisy dukes bikinis top sunkissed skin hot well melt popsicle california girls undeniable fine fresh fierce got lock west coast represent put hands sex beach dont mind sand stilettos freak jeep snoop doggy dogg stereo could travel world nothing comes close golden coast party us youll falling love california girls unforgettable daisy dukes bikinis top sunkissed skin hot well melt popsicle california girls undeniable fine fresh fierce got lock west coast represent west coast put hands toned tan fit ready turn cause gettin heavy wild wild west coast girls love mean ones mean like shes one kiss touch squeeze buns girls freak drive jeep live beach im okay wont play love bait like love la venice beach palm springs summertime everything homeboys bangin ass hangin bikinis zucchinis martinis weenies king queeny katy lady yeah lookie baby uh huh im ya cause youre representin california oh yeah california girls unforgettable daisy dukes bikinis top sunkissed skin hot well melt popsicle california girls undeniable fine fresh fierce got lock west coast represent west coast west coast put hands california california girls california girls man california california girls"
